Feature,Purpose,Evidence,User Value,Business Value,Engineering Complexity,Clinical Complexity,Infrastructure Complexity,Regulatory Complexity,Estimated Team (Engineers),Estimated Months,Priority,Category,Copy,Improve,Ignore,Reinvent,Moat,Confidence
Medicine Ordering,Core commerce transaction,🟢 Directly observed,High - solves access problem,High - primary revenue driver,Medium,Low,Medium,High,15-20,6-12,1 - Critical,Copy,Yes,No,No,No,Distribution - Strong,🟢 Confirmed
Specialty Care Programs,"Obesity, cancer care pathways",🟢 Confirmed - ET,High - comprehensive care,High - higher LTV,High,Very High,Medium,Very High,10-20,18-24,Improve,Yes,Yes,No,Yes,Clinical - Building,🟢 Confirmed
Private Label Products,Own-brand wellness products,🟢 Confirmed - multiple,Medium - trusted products,High - margin expansion,Low,Low,Medium,Medium,3-5,6-9,Copy,Yes,No,No,No,Brand - Strong,🟢 Confirmed
Corporate Health Programs,B2B wellness for employers,🟢 Confirmed - OneBanc partnership,Medium - employee benefit,High - enterprise revenue,Medium,Medium,Medium,High,8-12,12-18,Reinvent,No,Yes,No,Yes,B2B - Building,🟢 Confirmed
Health Articles/Content,SEO & user education,🟢 Directly observed,Medium - information,Medium - SEO & trust,Low,Medium,Low,Low,3-5,Ongoing,Copy,Yes,No,No,No,SEO - Strong,🟢 Confirmed
AI Health Score,"Personal health scoring algorithm",🟢 Confirmed - Inc42,High - self-assessment,High - engagement & data,High,High,Medium,Medium,6-10,9-12,Reinvent,No,Yes,No,Yes,AI - Building,🟡 Strong Inference
Wearable Data Integration,Import from wearables,🟡 Strong Inference - mentioned,High - comprehensive tracking,High - data moat,Medium,Low,High,High,6-8,9-12,Reinvent,No,Yes,No,Yes,Data - Future,🔴 Speculation
Vaccination Services,At-home adult vaccination,🟢 Confirmed - Wikipedia,High - convenience,Medium - service expansion,Medium,High,Medium,High,4-6,6-9,Copy,Yes,No,No,No,Service - Weak,🟢 Confirmed
ABHA Integration,Government health ID connect,🟡 Strong Inference,Medium - portability,High - regulatory alignment,Medium,Low,Medium,Medium,3-5,3-6,Copy,Yes,No,No,No,Regulatory - Medium,🔴 Speculation
Medication Interaction Checker,Drug safety feature,🟡 Strong Inference,High - safety critical,Medium - trust building,High,Very High,Low,Medium,5-8,9-12,Reinvent,No,Yes,No,Yes,Clinical - Building,🔴 Speculation
Radiology AI Integration,AI diagnostics for imaging,🟢 Confirmed - 5C Network investment,High - faster diagnosis,Medium - differentiation,Very High,Very High,High,Very High,10-20,18-24,Improve,Yes,Yes,No,Yes,AI - Building,🟢 Confirmed
Tele-ICU/Remote Monitoring,Chronic care at home,🔴 Speculation,High - critical for chronic,High - LTV expansion,Very High,Very High,High,Very High,15-25,24-36,Future,No,Yes,No,Yes,Clinical - Future,🔴 Speculation
Health Data Export/API,User data portability,🔴 Speculation,High - user control,Medium - ecosystem play,High,Low,High,High,6-10,9-12,Reinvent,No,Yes,No,Yes,Developer - Future,🔴 Speculation
Mental Health Services,Psychological support,🔴 Speculation,Very High - growing need,Medium - TAM expansion,Medium,Very High,Medium,High,8-12,12-18,Future,No,Yes,No,Yes,Clinical - Future,🔴 Speculation
Clinical Trial Matching,Connect patients to trials,🔴 Speculation,Medium - access to innovation,Medium - pharma partnership,High,Very High,Medium,Very High,6-10,18-24,Future,No,Yes,No,Yes,Data - Future,🔴 Speculation
Genomic Data Integration,DNA-based health insights,🔴 Speculation,Very High - personalized,High - ultimate moat,Very High,Very High,Very High,Very High,15-25,36+,Future,No,No,No,Yes,Data - Future,🔴 Speculation
Insurance Claim Integration,Direct insurance processing,🔴 Speculation,Medium - reduces paperwork,High - B2B play,High,Medium,High,Very High,8-12,12-18,Future,No,Yes,No,Yes,B2B - Future,🔴 Speculation
Health Savings Platform,Financial health product,🔴 Speculation,Medium - savings,High - fintech revenue,Very High,Low,Very High,Very High,15-25,24-36,Future,No,No,No,Yes,Brand - Future,🔴 Speculation
