rank,tier,platform_id,name,company,website,categories,sector,country,deployment_footprint,source_type,abdm_certified,abdm_integrated_date,abdm_expiry,abdm_listings,security_audit_cert,govt_product_rating,score_market_importance,score_automation_potential,score_api_quality,score_ui_automation,score_fhir_readiness,score_security,score_integration_difficulty,score_maintenance_burden,score_strategic_importance,recommended_priority,confidence,last_verified,evidence,notes
11,P0,IN-medixcel-emr-his,Medixcel EMR & HIS,Plus91 Technologies,https://www.medixcel.in,HMIS,private,India,LARGE,CURATED,False,,,0,False,,8.0,6.7,6,8,6,4,5.0,5,6.4,6.7,VERIFIED,2026-07-25,https://abdm.gov.in/our-partners,"Plus91 is ABDM-certified (govt product rating 4.3, Hospital HMIS) and listed as an ABDM technical integrator. Medixcel appears in integrator list across Hospital HMIS / Clinic HMIS / LMIS categories."
12,P0,IN-nhcx,NHCX,National Health Authority,https://nhcx.abdm.gov.in,Insurance Exchange,government,India,NATIONAL,CURATED,False,,,0,False,,7.0,8.1,9,6,10,4,1.6,5,6.3,6.7,VERIFIED,2026-07-25,https://abdm.gov.in/our-partners,National Health Claims Exchange. 34 ABDM partners already in NHCX category. FHIR-based claims.
13,P0,IN-dcm4chee,dcm4chee,dcm4che open-source project,https://www.dcm4che.org,RIS/PACS,open-source,Global,LARGE,CURATED,False,,,0,False,,6.4,8.7,9,8,9,4,2.0,5,6.1,6.4,VERIFIED,2026-07-25,https://www.dcm4che.org,Open-source DICOM archive; PACS layer inside Bahmni and many Indian budget deployments. Fully scriptable DICOM C-FIND/C-MOVE/STOW-RS.
14,P0,IN-attune-his-lis,Attune HIS/LIS,Attune Technologies,https://www.attunelive.com,HMIS,private,India,LARGE,CURATED,False,,,0,False,,8.0,4.1,2,8,2,4,9.0,5,5.6,5.9,INFERRED,2026-07-25,https://www.attunelive.com,Enterprise HIS + strong LIS/diagnostic-chain footprint. Hybrid cloud/on-prem.
15,P0,IN-insta-hms,Insta HMS,Practo Technologies,https://www.insta.practo.com,HMIS,private,India,LARGE,CURATED,False,,,0,False,,8.0,4.1,2,8,2,4,9.0,5,5.6,5.9,VERIFIED,2026-07-25,https://abdm.gov.in/our-partners,"Cloud HIS for hospitals/clinic chains. Practo group. Practo separately ABDM-certified (healthrx.co.in), govt product rating 3.5."
16,P1,IN-creliohealth,CrelioHealth,CrelioHealth (Livehealth),https://creliohealth.com,LMIS,private,India,LARGE,CURATED,False,,,0,False,,6.4,7.3,7,8,7,4,4.0,5,5.7,5.9,VERIFIED,2026-07-25,https://abdm.gov.in/our-partners,ABDM technical integrator (LMIS category). Major Indian diagnostic-lab SaaS; strong API surface.
17,P1,IN-e-sushrut-clinic,e-Sushrut@Clinic,C-DAC Noida / NHA,https://www.cdac.in,HMIS,government,India,LARGE,CURATED,False,,,0,False,,8.0,3.4,2,6,2,4,9.0,5,5.4,5.7,VERIFIED,2026-07-25,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2156603,"Light cloud HMIS launched Jun 2026 by Union Health Minister. Rs499/mo for 5 users (Rs299 after NHA subsidy). 800+ facilities onboarded. HPR/HFR gated onboarding. Targets PHCs, HWCs, sub-centres, private clinics."
18,P1,IN-drucare-private,Drucare Private Limited,Drucare Private Limited,https://www.dru.care/,HMIS|LMIS|Pharmacy,private,India,UNKNOWN,ABDM_REGISTRY,True,2022-04-22,,1,False,4.5,4.0,6.7,5,8,8,5,4.8,3.4,5.3,4.9,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
19,P1,IN-orbi-health-private,Orbi Health Private Limited,Orbi Health Private Limited,https://www.eka.care/,Connectors|HMIS|Health Locker|PHR App,private,India,UNKNOWN,ABDM_REGISTRY,True,2021-10-18,2025-05-21,2,False,4.5,4.0,6.7,5,8,8,5,4.8,3.4,5.3,4.9,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
20,P1,IN-plus-91,Plus 91,Plus 91,https://plus91.in/,HMIS|Health Locker|NHCX|PHR App,private,India,UNKNOWN,ABDM_REGISTRY,True,2021-05-18,2025-05-15,3,True,4.3,4.0,6.7,5,8,8,7,4.8,3.4,5.3,4.9,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
21,P1,IN-yro-systems-pvt,Yro Systems Pvt Ltd,Yro Systems Pvt Ltd,https://mocdoc.in,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-02-20,,2,False,4.4,4.0,6.7,5,8,8,5,4.8,3.4,5.3,4.9,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
22,P1,IN-bajaj-finserv-health,Bajaj Finserv Health,Bajaj Finserv Health, https://www.bajajfinservhealth.in,HMIS|Health Locker|Health Tech|PHR App,private,India,UNKNOWN,ABDM_REGISTRY,True,2021-10-21,2025-03-27,2,True,4.0,4.0,6.7,5,8,8,7,4.8,3.4,5.2,4.8,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
23,P1,IN-dhanush-healthcare-systems-private,Dhanush Healthcare Systems Private Limited,Dhanush Healthcare Systems Private Limited,https://www.dhanushhealthcare.com/,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-12-19,,2,True,4.0,4.0,6.7,5,8,8,7,4.8,3.4,5.2,4.8,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
24,P1,IN-hodo-medical-informatic-solutions-private,HODO Medical Informatic Solutions Private Limited,HODO Medical Informatic Solutions Private Limited,https://hodo.in,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2022-10-03,,1,False,4.1,4.0,6.7,5,8,8,5,4.8,3.4,5.2,4.8,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
25,P1,IN-healthray-technologies-pvt,Healthray Technologies Pvt. Ltd.,Healthray Technologies Pvt. Ltd.,https://healthray.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-08-31,2024-12-31,1,False,3.6,4.0,6.7,5,8,8,5,4.8,3.4,5.1,4.8,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
26,P1,IN-nice-hms,NICE-HMS,NICE-HMS,https://www.nicehms.com/,HMIS,microsites,India,UNKNOWN,ABDM_REGISTRY,True,2022-07-27,,1,False,3.5,4.0,6.7,5,8,8,5,4.8,3.4,5.1,4.8,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
27,P1,IN-caresoft-his,Caresoft HIS,Caresoft Systems Pvt Ltd,https://www.caresoft.co.in,HMIS,private,India,MID,CURATED,False,,,0,False,,6.0,4.1,2,8,2,4,9.0,3,4.5,4.6,INFERRED,2026-07-25,https://www.inven.ai/company-lists/top-22-hospital-management-software-companies,"Thane, Maharashtra. Founded 2007, 51-200 staff. Strong Mumbai-region presence."
28,P1,IN-drlogy,Drlogy,Drlogy,https://drlogy.com,HMIS,private,India,MID,CURATED,False,,,0,False,,6.0,4.1,2,8,2,4,9.0,3,4.5,4.6,INFERRED,2026-07-25,https://technologycounter.com/hospital-management-software,"Clinic/hospital/lab software, very large SMB long-tail reach in India."
29,P1,IN-ezovion-hims,Ezovion HIMS,Ezovion Solutions,https://www.ezovion.com,HMIS,private,India,MID,CURATED,False,,,0,False,,6.0,4.1,2,8,2,4,9.0,3,4.5,4.6,INFERRED,2026-07-25,https://technologycounter.com/hospital-management-software,Cloud HIMS for clinics/mid hospitals.
30,P1,IN-halemind,Halemind,Halemind (MocDoc ecosystem adjacent),https://www.halemind.com,HMIS,private,India,MID,CURATED,False,,,0,False,,6.0,4.1,2,8,2,4,9.0,3,4.5,4.6,INFERRED,2026-07-25,https://technologycounter.com/hospital-management-software,"Cloud HMS, mid-market. Highly rated on Indian review directories."
31,P1,IN-napier-his,Napier HIS,Napier Healthcare Solutions,https://www.napierhealthcare.com,HMIS,private,Singapore/India,MID,CURATED,False,,,0,False,,6.0,4.1,2,8,2,4,9.0,3,4.5,4.6,INFERRED,2026-07-25,https://www.inven.ai/company-lists/top-22-hospital-management-software-companies,"Founded 1996, Singapore HQ, India delivery. Enterprise HIS, AI analytics."
32,P1,IN-softclinic-genx,SoftClinic GenX,JVS Technologies (JVS Group),https://www.softclinicsoftware.com,HMIS,private,India,MID,CURATED,False,,,0,False,,6.0,4.1,2,8,2,4,9.0,3,4.5,4.6,INFERRED,2026-07-25,https://www.inven.ai/company-lists/top-22-hospital-management-software-companies,"Ahmedabad-based, founded 2002. Clinic-origin, now full OPD/IPD/billing/pharmacy/lab/radiology. Claimed 1,500+ doctors, 30+ countries (vendor claim)."
33,P1,IN-drcfo-management-consultants-private,DRCFO MANAGEMENT CONSULTANTS PRIVATE LIMITED,DRCFO MANAGEMENT CONSULTANTS PRIVATE LIMITED,https://drcfo.in,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-05-15,2025-03-23,1,False,2.5,4.0,6.7,5,8,8,5,4.8,3.4,4.8,4.6,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
34,P1,IN-eaushadhi,eAushadhi,C-DAC / MoHFW,https://eaushadhi.gov.in,Pharmacy/SCM,government,India,NATIONAL,CURATED,False,,,0,False,,6.0,3.4,2,6,2,4,9.0,5,4.3,4.5,VERIFIED,2026-07-25,https://www.cdac.gov.in/index.aspx?id=print_page&print=achieve_health_informatics,Drug supply-chain management used by state health depts for warehouse-to-facility drug logistics.
35,P1,IN-connection-loops-pvt,Connection Loops Pvt Ltd.,Connection Loops Pvt Ltd.,https://www.connectionloops.com/,LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-02-20,2025-03-29,1,False,3.9,3.4,6.7,5,8,8,5,4.8,3.4,4.9,4.5,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
36,P1,IN-a-hmis,A-HMIS,A-HMIS,https://ehr.ayush.gov.in/home,HMIS,government,India,UNKNOWN,ABDM_REGISTRY,True,2023-01-05,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
37,P1,IN-aciana-health-technologies-india-private,ACIANA HEALTH TECHNOLOGIES INDIA PRIVATE LIMITED,ACIANA HEALTH TECHNOLOGIES INDIA PRIVATE LIMITED,https://www.aciana.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-27,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
38,P1,IN-acutech-solutions-private,ACUTECH SOLUTIONS PRIVATE LIMITED,ACUTECH SOLUTIONS PRIVATE LIMITED,https://hims.imedisuites.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-15,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
39,P1,IN-aireach-medtech-private,AIREACH MedTech Private Limited,AIREACH MedTech Private Limited,www.reachaimedtech.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-06-14,,2,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
40,P1,IN-apleixa-technologies-private,APLEIXA TECHNOLOGIES PRIVATE LIMITED,APLEIXA TECHNOLOGIES PRIVATE LIMITED,https://www.apleixatechnologies.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-05-28,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
41,P1,IN-arinsta-private,ARINSTA PRIVATE LIMITED,ARINSTA PRIVATE LIMITED,https://www.instaitservices.com,HMIS|LMIS|Pharmacy,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-03-30,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
42,P1,IN-axonic-health-private,AXONIC HEALTH PRIVATE LIMITED,AXONIC HEALTH PRIVATE LIMITED,https://axonichealth.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-01-23,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
43,P1,IN-akhil-systems-pvt,Akhil Systems Pvt Ltd,Akhil Systems Pvt Ltd,https://akhilsystems.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-10-11,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
44,P1,IN-algoflow-ai-private,Algoflow AI Private Limited,Algoflow AI Private Limited,https://algoflowai.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-06-11,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
45,P1,IN-amrita,Amrita Technologies,Amrita Technologies,https://www.amritatech.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-01-08,2024-11-30,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
46,P1,IN-aosta-india-private,Aosta India Private Limited,Aosta India Private Limited,https://www.aostasoftware.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-12-22,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
47,P1,IN-apollo-hospital,Apollo hospital,Apollo hospital,https://www.apollohospitals.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2021-05-03,2024-05-31,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
48,P1,IN-argusoft-india,ArguSoft India Limited,ArguSoft India Limited,https://abdmconnector.argusservices.in/,Connectors|HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-03-14,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
49,P1,IN-artem-healthtech-private,Artem HealthTech Private Limited,Artem HealthTech Private Limited,https://www.artemhealthtech.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-02-06,2025-02-28,1,True,,4.0,6.7,5,8,8,7,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
50,P1,IN-asmi-global-softwares-opc-pvt,Asmi Global Softwares (OPC) Pvt Ltd,Asmi Global Softwares (OPC) Pvt Ltd,https://www.asmiglobalsoftwares.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-10-09,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
51,P2,IN-asuun-wellness-pvt,Asuun Wellness Pvt. Ltd,Asuun Wellness Pvt. Ltd,https://mydigirecords.ai/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-06-27,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
52,P2,IN-athma-healthtech-pvt,Athma Healthtech Pvt Limited,Athma Healthtech Pvt Limited,https://athma.health/saas,HMIS|Health Tech,private,India,UNKNOWN,ABDM_REGISTRY,True,2022-10-17,,2,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
53,P2,IN-auroitech-digital-solutions-foundation,Auroitech Digital Solutions Foundation,Auroitech Digital Solutions Foundation,https://auroitech.org/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-07-15,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
54,P2,IN-biosoft-health-tech-pvt,BIOSOFT HEALTH TECH PVT LTD,BIOSOFT HEALTH TECH PVT LTD,https://www.biosoftltd.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-05-29,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
55,P2,IN-bs-infosystems-and-solutions-private,BS Infosystems And Solutions Private Limited,BS Infosystems And Solutions Private Limited,https://www.bsissoftware.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-01-27,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
56,P2,IN-bavya-health-services-private,Bavya Health Services Private Limited,Bavya Health Services Private Limited,https://bhspl.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-06-10,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
57,P2,IN-bharuwa-solutions-pvt,Bharuwa Solutions Pvt Ltd,Bharuwa Solutions Pvt Ltd,https://www.bharuwasolutions.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-11-22,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
58,P2,IN-byepo,Byepo Technologies,Byepo Technologies,https://byepo.com/,HMIS|Health Tech,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-09-18,2024-06-30,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
59,P2,IN-c-u-shah-medical-college-hospital,C U Shah Medical College & Hospital,C U Shah Medical College & Hospital,https://www.cusmc.org/ ,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-12-31,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
60,P2,IN-catalyst-software,CATALYST SOFTWARE,CATALYST SOFTWARE,https://catalystsoftware.in,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-07,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
61,P2,IN-cdac-noida,CDAC Noida,CDAC Noida,https://ehmis-lite.in ,HMIS,government,India,UNKNOWN,ABDM_REGISTRY,True,2024-09-17,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
62,P2,IN-chipsy-information-technology-services-private,CHIPSY INFORMATION TECHNOLOGY SERVICES PRIVATE LIMITED,CHIPSY INFORMATION TECHNOLOGY SERVICES PRIVATE LIMITED,https://www.chipsyservices.com/,Connectors|HMIS|Health Tech|NHCX,unknown,India,UNKNOWN,ABDM_REGISTRY,True,2024-08-23,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
63,P2,IN-curebay-technologies-private,CUREBAY TECHNOLOGIES PRIVATE LIMITED,CUREBAY TECHNOLOGIES PRIVATE LIMITED,https://curebay.com/,Connectors|HMIS|Health Tech,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-06-30,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
64,P2,IN-clinally-mpower-health,Clinally mPower Health,Clinally mPower Health,https://www.clinally.com/,HMIS,microsites,India,UNKNOWN,ABDM_REGISTRY,True,2022-12-21,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
65,P2,IN-cliniq360-pvt,CliniQ360 Pvt. Ltd.,CliniQ360 Pvt. Ltd.,https://www.cliniq360.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-03-10,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
66,P2,IN-codepro-management-private,Codepro Management Private Limited,Codepro Management Private Limited,https://codepromanagement.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-07,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
67,P2,IN-compune-digital-solutions-pvt,Compune Digital Solutions Pvt Ltd,Compune Digital Solutions Pvt Ltd,https://aran.care,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-09-29,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
68,P2,IN-copious-healthcare-india-pvt,Copious Healthcare India Pvt Ltd,Copious Healthcare India Pvt Ltd,https://www.copious.care/,HMIS|Health Tech,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-11-08,2024-09-30,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
69,P2,IN-cordelia-technology-private,Cordelia Technology Private Limited,Cordelia Technology Private Limited,https://www.cordeliatech.com ,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-11-10,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
