Feature,Purpose,Evidence,User Value,Business Value,Engineering Complexity,Clinical Complexity,Infrastructure Complexity,Regulatory Complexity,Estimated Team,Estimated Months,Priority,Category,Copy,Improve,Ignore,Reinvent,Moat,Confidence
AI food deconstruction,Break meal text/photo into items,S10,Saves logging effort,More complete nutrition dataset,7,2,5,3,AI+Data,6,High,AI,False,True,False,False,Data,High
AI health insights,Surface personalized patterns,"S01,S03,S17,S28",Personalized guidance,Differentiation and retention,8,5,5,5,AI+Clinical,8,High,AI,False,False,False,True,AI+Data,High
LevelsAI blog search,RAG over content library,S27,Instant education,SEO-to-product conversion,5,2,3,2,AI+Content,4,Medium,AI Search,True,False,False,False,Content,High
Document Center,Store health-related documents,"S17,S28",Central health record,AI health record roadmap,7,4,5,5,Product+AI,8,High,Records,False,False,False,True,Data,Med
AI lab upload extraction,Extract lab values from PDFs,S14,Reduces manual entry,Acquire non-Levels lab data,7,4,5,4,AI+Data,6,High,Labs,True,False,False,False,Data,High
AI lab interpretation,Plain-English summary/actions,S14,Makes labs understandable,Converts lab upload to engagement,7,5,4,5,AI+Clinical,7,High,Labs,False,True,False,False,Clinical,High
Basic Labs,28-marker metabolic/cardiovascular panel,S13,Objective health baseline,Add-on revenue,4,5,4,5,Ops+Clinical,4,High,Labs,True,False,False,False,Clinical,High
Comprehensive Labs,100+ marker panel,S13,Broad health optimization,High-ARPU add-on,4,6,4,5,Ops+Clinical,4,High,Labs,True,False,False,False,Clinical,High
Clinician review written note,Review data 2x annually in Core/Complete,S03,Professional guidance,Trust and upsell,4,6,4,6,Clinical Ops,4,High,Clinical,False,True,False,False,Clinical,High
Functional nutritionist session,50-min 1:1 guidance,S03,Human accountability,High-touch upsell,3,4,2,4,Care Ops,3,Medium,Coaching,False,True,False,False,Clinical,High
Concierge support,SMS/email support on Complete,S03,Reduced friction,Premium retention,3,1,2,2,Support,2,Medium,Support,True,False,False,False,Service,High
CSV data export,Download data,S31,User control and portability,Trust/compliance,4,1,3,3,Backend,3,High,Privacy,True,False,False,False,Trust,High
Share data with doctor,Grant access by email,S32,Clinical conversations,Bridge to care system,5,3,4,4,Portal+Security,4,High,Sharing,False,True,False,False,Trust,High
Delete data request,Privacy deletion workflow,S33,Control and trust,Compliance risk reduction,3,2,4,5,Privacy Ops,3,High,Privacy,True,False,False,False,Trust,High
Privacy opt-out for research/product improvement,Let users control data contribution,S17,Trust,Legitimizes data moat,3,2,4,5,Privacy+Legal,3,High,Privacy,True,False,False,False,Trust,High
No data sale principle,Assure users on monetization,"S01,S17",Trust,Brand differentiation,2,1,2,3,Legal+Brand,1,High,Trust,True,False,False,False,Trust,High
AI provider pseudonymization,Remove direct identifiers before model calls,S17,AI privacy assurance,Enables AI features,6,3,5,5,AI+Security,5,High,Security,False,True,False,False,Trust,High
Langfuse monitoring,Trace/debug AI prompts/responses,S17,More reliable AI,AI ops quality,5,2,4,4,AI Platform,3,Medium,AI Ops,True,False,False,False,AI,High
Levels Pro roster,Manage clients in practices,S19,Practitioner scale,B2B revenue,7,5,5,5,B2B Product,8,High,Provider,False,False,False,True,Distribution,High
Pro AI summaries,Prepare client reviews,S19,Less manual prep,Provider adoption,8,5,5,5,AI+B2B,8,High,Provider AI,False,True,False,False,AI+Workflow,High
Pro recommendations/targets,Turn review into plan,S19,Care follow-through,Sticky workflows,7,6,5,6,B2B+Clinical,8,High,Provider,False,False,False,True,Workflow,High
Pro cohorts/challenges,Group programs,S19,Accountability,Scalable practice revenue,6,4,4,4,B2B Product,6,Medium,Provider,True,False,False,False,Network,High
International waitlist,Capture non-U.S. demand,S09,Future access,Expansion pipeline,2,1,1,2,Growth,1,Low,Expansion,False,True,False,False,Distribution,High
Research study,Build glucose reference dataset,"S23,S24,S25",Citizen-science participation,Data/clinical credibility,6,6,5,6,Research+Data,12,Medium,Research,True,False,False,False,Data,High
Biomarker outcome report,Show member improvements,S26,Social proof,Conversion and trust,4,5,3,4,Data+Content,3,High,Evidence,False,True,False,False,Clinical,High
Content library,Educate on metabolism/nutrition,"S01,S27,S42",Self-service learning,SEO acquisition,3,4,2,2,Content,1,High,Growth,True,False,False,False,Brand,High
YouTube/podcast ecosystem,Founder/advisor-led education,"S20,S42",Trust and motivation,Low-CAC growth,2,3,1,1,Content+Growth,1,High,Growth,True,False,False,False,Brand,Med
HSA/FSA TrueMed checkout,Use pre-tax dollars,"S03,S17",Effective price reduction,Conversion,4,3,3,4,Growth+Payments,3,High,Payments,True,False,False,False,Pricing,High
Affirm financing,Pay over time,S03,Lower upfront friction,Conversion,3,1,2,2,Payments,2,Medium,Payments,True,False,False,False,Pricing,High
Member portal Shop,Buy add-ons from portal,"S03,S08,S14",Self-serve expansion,ARPU expansion,5,2,4,3,Product+Billing,4,High,Commerce,True,False,False,False,Revenue,High
Support/help center,Answer setup/product questions,"S05,S06,S07",Reduces confusion,Support leverage,3,1,2,1,Support+Content,2,High,Support,True,False,False,False,Service,High
