Feature,Purpose,User value,Business value,Difficulty,Estimated engineering effort,Priority,Ovexis should,Why
Protocol action cards,"Lifestyle/supplement/test steps","Actionability","Cross-sell","High","4-8 weeks","High","Improve","Separate clinical vs commerce recommendations."
Confirm protocol selection,"User commits to plan","Ownership","Engagement","Medium","2-4 weeks","Medium","Improve","Add adherence tracking."
AI Concierge landing,"Start AI/care support","Answers anytime","Retention/support deflection","High","4-12 weeks","High","Improve","Requires guardrails/citations/escalation."
Conversation history,"Persist chats","Continuity","Retention","Medium","2-4 weeks","High","Copy","Essential if privacy is strong."
Prompt chips,"Guide AI questions","No blank page","Higher usage","Low","1 week","High","Copy","Tune to member context."
Health context sidebar,"Show what AI knows","Transparency","Trust","Medium","2-4 weeks","High","Copy","Let user control context sources."
Chat input,"Ask personalized health questions","Personalized help","Support deflection","High","6-12 weeks","High","Improve","Use RAG and clinician escalation."
Specialist directory,"Request human review","Escalation path","Premium differentiation","High","8-16 weeks","High","Improve","Make real with credentialed Indian clinicians."
Clinical review tickets,"Track specialist requests","Care continuity","Premium engagement","High","6-10 weeks","High","Copy","Strong if operationally real."
Expert request status badges,"Pending/replied states","Expectation management","Support reduction","Medium","2-4 weeks","Medium","Copy","Useful async care pattern."
Health analyses list,"Persist generated reports","Reference library","Retention","Medium","2-4 weeks","Medium","Copy","Define provenance and review status."
Marketplace search,"Find products/tests","Commerce utility","Marketplace conversion","Medium","1-2 weeks","Medium","Improve","Regacore search did not visibly filter; implement real behavior."
Marketplace product tabs,"Segment Tests/Supplements/Rx","Browse easily","AOV/cross-sell","Medium","1-2 weeks","High","Copy","Table stakes."
Recommended add-on tests,"Sell extra panels","Deeper answers","High-margin revenue","High","6-12 weeks ops","High","Improve","Use lab partners and transparent pricing."
Supplement marketplace,"Fulfill supplement protocols","Convenience","Recurring revenue","High","8-16 weeks","Medium","Reinvent","Avoid conflict of interest; show evidence."
Prescription/peptide marketplace,"Rx monetization","Convenience","High revenue","Very high","12-24 weeks","Low","Ignore initially","Regulatory/trust risk; delay."
Manage subscriptions/orders,"Commerce account management","Control purchases","Retention/support","Medium","4-8 weeks","Medium","Copy","Needed once marketplace is real."
Ask AI floating CTA,"Cross-page AI entry","Immediate help","AI usage","Low","1 week","Medium","Copy","Useful if not intrusive."
Cloudflare RUM,"Traffic/performance metrics","None direct","Observability","Low","1 day","Medium","Copy","Use privacy-preserving analytics."
Supabase expert_requests,"Store/retrieve specialist tickets","Consultation history","Care workflow data","Medium","1-2 weeks","Medium","Improve","Verify RLS and avoid public data."
Public app demo routes,"Show product before purchase","Confidence","Conversion demo","Medium","1-2 weeks","Medium","Reinvent","Create deliberate demo mode; protect real app."
Privacy policy DPDP/SPI,"Legal trust/compliance","Reassurance","Liability reduction","High legal","2-4 weeks","High","Improve","Use named grievance officer and consent logs."
AI disclaimers,"Limit AI to screening/info","Safety expectations","Liability reduction","High","2-4 weeks","High","Improve","Add model evals and hallucination policy."
Terms liability cap,"Legal risk cap","Clarity","Liability reduction","High legal","1-2 weeks","High","Improve","Link correctly and review enforceability."
Named medical board,"Clinical credibility","Trust","Conversion/moat","High","4-12 weeks","High","Reinvent","Regacore lacks visible named clinicians."
Sample report,"Show output before purchase","Trust","Conversion","Medium","1-2 weeks","High","Reinvent","Critical gap."
Wearable integrations,"Sync Apple Health/Oura/Whoop","Continuous context","Retention/data moat","High","6-16 weeks","High","Improve","Differentiate by making real."
External lab upload/OCR,"Import historical reports","Continuity","Data moat","High","6-12 weeks","High","Improve","Use OCR + structured extraction + QA."
Notifications/reminders,"Prep/retest/protocol prompts","Keeps user on track","Retention","Medium","3-8 weeks","High","Reinvent","Use WhatsApp/SMS/email and opt-in controls."
