rank,pattern,family,label,companies,india,us,primary,total_hits,cross_geo,cross_class,genome_concept,gap_position,carriers
63,adopt_clinician_champion,adoption,WEAK,1,0,1,0,7,False,False,,,D18
64,bot_regulatory_burden,bottleneck,WEAK,1,0,1,0,6,False,False,,,D18
65,ux_traffic_light,ux,WEAK,1,0,1,0,5,False,False,,,D04
66,fail_price_value,failure,WEAK,1,0,1,0,5,False,False,,,D18
67,bot_regulatory_delay,bottleneck,WEAK,1,0,1,0,5,False,False,,,D18
68,ai_safety_disclaimer,ai,WEAK,0,0,0,0,11,False,False,,,
69,bot_integration_cost,bottleneck,WEAK,0,0,0,0,7,False,False,,,
70,fail_clinical_boundary,failure,WEAK,0,0,0,0,2,False,False,,,
71,bot_clinician_time,bottleneck,WEAK,0,0,0,0,2,False,False,,,
72,bot_clinician_capacity,bottleneck,WEAK,0,0,0,0,2,False,False,,,
73,onb_quiz_intake,adoption,WEAK,0,0,0,0,0,False,False,,,
