concept,gap_position,n_rows,n_companies,geos,user_value,business_value,eng_cx,clin_cx,infra_cx,reg_cx,strategic_importance,future_importance,jarvis_status,jarvis_loc,dependencies,companies
data_normalisation,before_commit,23,6,IN|NL|US,3.3,4.3,3.7,3.6,3.7,3.1,3.6,4.9,absent,0,fhir_api_surface,D01|D07|D11|D15|D18|D19
biomarker_lab_panel,before_commit,30,7,IN|US,3.8,3.8,2.8,3.3,2.5,3.2,3.5,3.8,absent,0,,D02|D03|D05|D10|D16|D17|D19
population_health,before_commit,3,3,IN|US,3,3.7,2,2,2,4,3.5,3.8,absent,0,,D03|D06|D11
clinical_decision_support,before_commit,12,8,DE|IN|US,4.1,3.6,4.2,4.4,4,3.8,3.4,4.6,absent,0,data_normalisation|rag_grounded_answer|explainability_provenance|regulatory_clinical_validation,D03|D06|D07|D08|D09|D11|D15|D17
imaging_capture,before_commit,8,6,IN|US,3.4,3.8,3.6,2.6,3.2,3,3.4,3.7,absent,0,,D03|D05|D06|D10|D11|D13
ehr_record_retrieval,before_commit,38,10,IN|NL|US,3.8,4.1,3.7,3.4,3.3,3.6,3.3,3.6,absent,0,fhir_api_surface|consent_management|identity_resolution,D01|D03|D06|D07|D09|D10|D11|D12|D18|D19
risk_scoring,before_commit,4,2,DE|US,,,4.2,3.5,3,2.5,3.2,3.5,absent,0,,D01|D08
rag_grounded_answer,before_commit,35,12,DE|IN|NL|US,4,4.2,3.8,3.1,3,2.8,3.1,4.2,partial_exists,655,data_normalisation|explainability_provenance,D01|D03|D05|D06|D07|D08|D09|D13|D15|D17|D18|D19
consent_management,before_commit,27,10,IN|US,3.7,3.8,3.2,2.7,3.1,3.5,3.1,3.3,absent,0,identity_resolution,D01|D03|D06|D07|D09|D11|D12|D13|D17|D19
patient_reported_input,before_commit,17,5,IN|US,2.8,3.5,2.5,1.4,2.1,1.3,3.1,3.3,absent,0,,D03|D05|D10|D11|D12
explainability_provenance,before_commit,22,11,IN|NL|US,4,3.6,2.4,2.6,2.3,3.2,3.0,4.1,partial_exists,815,,D01|D02|D03|D05|D06|D09|D11|D12|D17|D18|D19
summarisation,before_commit,40,10,DE|IN|NL|US,3.7,3.7,3.3,3.2,2.7,2.9,3.0,3.2,partial_exists,309,,D01|D02|D03|D05|D07|D08|D13|D15|D18|D19
longitudinal_timeline,before_commit,42,13,IN|US,4.0,3.8,3.2,2.5,2.9,2.6,2.9,3.1,partial_exists,684,data_normalisation|identity_resolution|consent_management,D01|D02|D03|D05|D06|D07|D09|D11|D12|D15|D16|D17|D19
ai_chat_assistant,before_commit,34,15,DE|IN|NL|US,4.2,4.1,3.6,3.3,3.8,3.3,2.8,3.0,partial_exists,1017,,D02|D03|D05|D06|D08|D09|D10|D11|D12|D13|D15|D16|D17|D18|D19
wearable_biometric_stream,before_commit,60,13,IN|US,3.8,3.7,3.3,2.2,3.0,2.3,2.7,2.9,absent,0,,D01|D02|D03|D05|D07|D09|D10|D11|D12|D13|D16|D17|D19
data_export_portability,before_commit,19,11,IN|US,3.8,3.2,3.1,2.4,2.9,3.2,2.7,2.9,absent,0,,D01|D05|D09|D10|D11|D12|D13|D15|D16|D17|D19
fhir_api_surface,before_commit,105,13,IN|NL|US,3.1,4,3.3,3,3.4,3.4,2.6,2.8,absent,0,,D01|D03|D06|D07|D09|D10|D11|D12|D13|D16|D17|D18|D19
content_education,before_commit,89,13,DE|IN|NL|US,3.6,3.4,3.0,3.3,2.9,2.3,2.6,2.8,absent,0,,D01|D02|D05|D06|D08|D10|D11|D12|D13|D15|D16|D17|D18
onboarding_flow,wrapper,14,7,DE|NL|US,4,4,2.3,1.7,1.9,2.1,2.4,2.6,partial_exists,426,,D02|D03|D05|D08|D13|D15|D18
provider_discovery,wrapper,10,5,IN|US,3.3,4,3.4,3,3,2.5,2.4,2.6,absent,0,,D01|D02|D09|D13|D17
regulatory_clinical_validation,wrapper,5,4,IN|US,3.4,3.8,3.5,4,3,4,2.4,2.6,absent,0,,D06|D07|D10|D15
analytics_dashboard,before_commit,98,16,DE|IN|NL|US,3.3,3.8,3.2,2.7,3.1,2.6,2.3,2.5,absent,0,,D01|D02|D03|D05|D06|D07|D08|D09|D10|D11|D12|D13|D15|D16|D18|D19
employer_enterprise_admin,wrapper,8,5,IN|NL|US,2.5,3.8,3,2.3,2.3,2.7,2.1,2.3,absent,0,,D01|D03|D09|D10|D18
offline_low_bandwidth,wrapper,6,4,DE|IN|NL|US,3.5,3,3.8,2.7,3.7,2.8,2.1,2.3,absent,0,,D08|D10|D13|D18
gamification_habit,wrapper,36,12,IN|NL|US,3.9,3.9,2.6,2.5,2.4,2.3,2.0,2.2,absent,0,,D01|D02|D05|D06|D10|D11|D13|D15|D16|D17|D18|D19
compliance_certification,wrapper,33,10,IN|US,3.1,4,3.4,2.8,3.1,4.2,2.0,2.2,absent,0,,D01|D02|D03|D06|D07|D11|D13|D15|D16|D17
localisation_multilingual,wrapper,19,10,DE|IN|NL|US,3.5,3.8,3.2,3.1,3.1,2.6,2.0,2.2,absent,0,,D01|D05|D06|D07|D08|D11|D13|D15|D18|D19
safety_guardrails,wrapper,35,14,DE|IN|NL|US,4.2,4.0,3.2,3.9,2.8,3.9,1.9,2.6,partial_exists,852,explainability_provenance,D02|D03|D06|D07|D08|D09|D10|D11|D12|D13|D15|D17|D18|D19
marketplace_commerce,wrapper,52,13,DE|IN|NL|US,3.4,4.1,3.5,2.5,3.1,3.1,1.9,2.1,absent,0,,D01|D02|D03|D05|D08|D09|D10|D11|D12|D13|D15|D17|D18
conversion_growth_surface,wrapper,57,11,DE|IN|NL|US,3.1,4.0,2.5,2.2,2.3,2.3,1.9,2.1,absent,0,,D01|D02|D03|D05|D06|D08|D10|D11|D16|D17|D18
auth_session,wrapper,51,14,DE|IN|NL|US,3.4,4.1,3.0,2.8,3,2.9,1.8,1.9,partial_exists,447,,D01|D02|D03|D05|D06|D07|D08|D11|D12|D13|D15|D16|D18|D19
security_access_control,wrapper,43,13,IN|US,3.6,3.9,3.1,2.3,2.9,3.7,1.8,1.9,partial_exists,926,,D01|D03|D05|D06|D07|D09|D11|D12|D13|D15|D16|D17|D19
community_social,wrapper,24,11,DE|IN|NL|US,3.1,3.6,3.0,2.4,2.8,2.4,1.8,1.9,absent,0,,D01|D02|D03|D05|D06|D08|D11|D15|D16|D18|D19
subscription_billing,wrapper,62,14,DE|IN|NL|US,3,4.2,2.4,1.9,2.2,2.2,1.7,1.8,absent,0,,D01|D02|D03|D05|D07|D08|D09|D10|D11|D13|D15|D16|D17|D18
