journey,stage,owners,gap_class,gap_position,concept,strategic_importance,jarvis_status,jarvis_loc,companies
patient,adhere_at_home,16,CROWDED,wrapper,gamification_habit,2.0,absent,0,D02|D03|D04|D05|D06|D07|D08|D10|D11|D12|D13|D14|D16|D17|D18|D19
patient,book,18,CROWDED,AT_COMMIT,scheduling_booking,8.4,absent,0,D01|D02|D03|D04|D05|D06|D07|D08|D09|D10|D11|D12|D13|D16|D17|D18|G01|I01
patient,consult,20,CROWDED,human_fallback,teleconsultation,6.6,absent,0,D01|D02|D03|D04|D05|D06|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|G01
patient,diagnosis_explained,16,CROWDED,before_commit,explainability_provenance,3.0,partial_exists,815,D02|D03|D04|D05|D06|D07|D08|D10|D11|D12|D13|D15|D16|D18|D19|G01
patient,escalate_if_worse,16,CROWDED,unmapped,,,unknown,0,D02|D03|D04|D05|D06|D07|D08|D09|D10|D11|D12|D13|D14|D16|D18|D19
patient,find_provider,15,CROWDED,wrapper,provider_discovery,2.4,absent,0,D01|D03|D04|D05|D06|D09|D10|D11|D14|D15|D16|D17|D18|D19|I01
patient,follow_up,13,CROWDED,AT_COMMIT,scheduling_booking,8.4,absent,0,D02|D03|D04|D05|D06|D07|D09|D10|D12|D13|D16|D17|D18
patient,pay,16,CROWDED,wrapper,subscription_billing,1.7,absent,0,D02|D03|D04|D05|D06|D07|D08|D09|D10|D11|D15|D16|D17|D18|D19|G01
patient,pre_visit_intake,1,UNOWNED,unmapped,,,unknown,0,D18
patient,prescription_filled,18,CROWDED,AT_COMMIT,ordering_eprescribing,6.6,absent,0,D01|D03|D04|D05|D06|D07|D08|D09|D10|D11|D12|D13|D15|D16|D17|D18|D19|G01
patient,register_checkin,13,CROWDED,before_commit,identity_resolution,4.0,absent,0,D01|D02|D03|D04|D06|D07|D08|D11|D14|D16|D18|D19|G01
patient,results_returned,2,UNOWNED,before_commit,anomaly_alerting,4.7,absent,0,D01|D04
patient,tests_ordered,3,CONTESTED,unmapped,,,unknown,0,D03|D04|D16
patient,tests_performed,8,CONTESTED,unmapped,,,unknown,0,D02|D03|D04|D06|D09|D10|D16|D18
patient,treatment_decided,15,CROWDED,AT_COMMIT,protocol_commitment,9.6,absent,0,D02|D03|D04|D05|D06|D09|D10|D11|D12|D13|D15|D16|D18|G01|I01
patient,wait,5,CONTESTED,unmapped,,,unknown,0,D06|D09|D11|D19|G01
pharmacy,check_stock,18,CROWDED,AT_COMMIT,inventory_supply,8.4,absent,0,D01|D02|D03|D04|D05|D06|D07|D08|D09|D10|D11|D13|D14|D15|D16|D17|D18|D19
pharmacy,counsel_patient,4,CONTESTED,unmapped,,,unknown,0,D11|D14|D18|D19
pharmacy,dispense,1,UNOWNED,AT_COMMIT,inventory_supply,8.4,absent,0,D18
pharmacy,reorder_stock,3,CONTESTED,AT_COMMIT,inventory_supply,8.4,absent,0,D15|D18|G01
pharmacy,verify_interaction,5,CONTESTED,wrapper,safety_guardrails,1.9,partial_exists,852,D02|D06|D10|D11|D18
quality,audit_chart,1,UNOWNED,before_commit,evidence_generation,3.9,absent,0,G01
quality,define_indicator,8,CONTESTED,unmapped,,,unknown,0,D04|D08|D10|D11|D14|D16|D18|G01
quality,incident_report,2,UNOWNED,unmapped,,,unknown,0,D06|G01
radiology,acquire_image,5,CONTESTED,unmapped,,,unknown,0,D03|D04|D05|D11|G01
radiology,communicate_critical,0,TRUE_GAP,before_commit,anomaly_alerting,4.7,absent,0,
radiology,read_report,0,DISCUSSED_NOT_OWNED,before_commit,imaging_capture,3.4,absent,0,
radiology,store_pacs,5,CONTESTED,unmapped,,,unknown,0,D06|D13|D18|G01|I01
reception,queue_manage,11,CROWDED,unmapped,,,unknown,0,D01|D03|D04|D05|D06|D07|D09|D11|D16|D19|G01
reception,verify_eligibility,5,CONTESTED,unmapped,,,unknown,0,D06|D11|D12|D16|G01
reception,verify_identity,10,CROWDED,unmapped,,,unknown,0,D01|D03|D06|D09|D13|D15|D17|D18|D19|I01
