Feature,Purpose,Evidence,User Value,Business Value,Engineering Complexity,Clinical Complexity,Infrastructure Complexity,Regulatory Complexity,Estimated Team,Estimated Months,Priority,Category,Copy,Improve,Ignore,Reinvent,Moat,Confidence
"Graphics/algorithms/videos","Bedside teaching aids","App listing; reviews","High","Medium","High (asset production)","High","Low","Low","Studio team","Ongoing","P2","Content","Yes","Interactive decision aids","","","Weak","Confirmed"
"UpToDate Expert AI (chat)","GenAI corpus-grounded answers","Sep-2025 launch; app listing","Very High","Very High","High","High","High","High","~100-eng platform (org)","24 (co-dev)","P0","AI","Yes (pattern)","Add patient-twin layer","","","AI moat (nascent)","Confirmed"
"Transparency triad (Assumptions/Sources/Reasoning)","AI auditability","Launch materials","Very High","High","Medium","Medium","Medium","High","4-6","3-4","P0","AI UX","Yes","+ Data lineage panel","","","Trust moat","Confirmed"
"Multi-layer validation framework","Clinical safety of AI","Launch marketing; job post","Very High","Very High","High","High","High","Very High","8-12","9-12","P0","AI Safety","Yes (architecture pattern)","","","","Regulatory moat","Strong Inference"
"Multi-model routing (Azure OAI/Anthropic/Gemini)","Cost/quality/resilience","Job post R0052281","Medium","High","High","Low","High","Medium","4-6","3-6","P1","AI Infra","Yes","","","","None","Confirmed"
"RAG over graded corpus + Lexidrug KBs","Grounded retrieval","Job post; Nov-2025 release","Very High","Very High","High","High","High","High","6-10","6-9","P0","AI Infra","Yes","Patient-twin hybrid RAG","","","Corpus moat","Strong Inference"
"Eval-gated CI/CD (canaries, rollback)","Safe AI releases","Job post","Medium","High","High","Medium","Medium","Medium","3-5","3-4","P1","AI Infra","Yes","","","","None","Confirmed"
"Enterprise AI governance console","Admin policies/audit for AI","Launch enterprise marketing","High","Very High","Medium","Medium","Medium","High","4-8","6-9","P1","Enterprise","Yes","","","","Regulatory moat","Strong Inference"
"CME ledger + AMA PRA redemption","Habit lock-in via licensure","Product pages; Epic page","High","Very High","Medium","Low","Medium","Medium","3-5","4-6","P1","Retention","Yes","Outcome-linked learning","","","Switching cost","Confirmed"
"UpToDate Anywhere (SSO + personal access)","Institutional entitlement + personal overlay","Product docs; library guides","High","High","Medium","Low","Medium","Medium","4-6","4-6","P1","Enterprise Auth","Yes","","","","None","Confirmed"
"90-day revalidation","License hygiene","Library guides","Low","Medium","Low","Low","Low","Low","1","1","P3","Control","","","Yes","Generous caregiver consent instead","Anti-moat (friction)","Confirmed"
"EHR Infobutton integrations (Epic/Oracle/InterSystems)","Context-aware launch from chart","UpToDate Epic page","Very High","Very High","Medium","Medium","High","Medium","4-8","6-12","P0","Distribution","Yes","SMART/CDS Hooks + write-back","","","Distribution moat","Confirmed"
"Embedded search links (Cerner toolbar)","Zero-click workflow graft","Epic/integration page","High","High","Low","Low","Low","Low","2","2","P2","Distribution","Yes","","","","Weak","Confirmed"
"Institutional IP/EZproxy 'no-login' access","Activation without accounts","Login page (continue w/o signing in)","Very High","High","Low","Low","Low","Medium","2-3","2-3","P1","Enterprise Auth","Yes","","","","Weak","Confirmed"
"Store wizard (country/role/profession)","Segmented pricing self-serve","store.uptodate.com observed","High","Very High","Low","Low","Low","Low","2-4","3-4","P1","Monetisation","","Improve: value-preview before pay","","Anti-moat (opacity)","Confirmed"
"Pro / Pro Plus tiers","Price discrimination + AI upsell","2025-26 pricing reports; app listing","Medium","Very High","Low","Low","Low","Low","1-2","1-2","P1","Monetisation","","Improve: transparent calculator","","Weak","Confirmed"
"Group purchase (2-19) + enterprise gating (>=20)","SMB-to-enterprise routing","Store page observed","Medium","High","Low","Low","Low","Low","1-2","1-2","P2","Monetisation","","","","None","Confirmed"
"EzRenew auto-renewal","Renewal friction removal","Store page observed","Medium","High","Low","Low","Low","Medium","1-2","1-2","P2","Retention","Yes (no dark patterns)","","","","Weak","Confirmed"
"Mobile apps (iOS/Android)","Anywhere access","App stores","High","High","High","Medium","Medium","Low","6-10","Ongoing","P0","Surface","Yes","Offline-first core; dark mode; widgets","","Weak","Confirmed"
"Lexidrug offline mode","Hospital-connectivity resilience","Lexidrug app page","High","Medium","Medium","Low","Medium","Low","3-4","3-4","P1","Surface","Yes","Extend offline to core app","","Weak","Confirmed"
"2-device mobile policy","Seat enforcement","App store copy; user reports","Low","Medium","Low","Low","Low","Low","1","1","P3","Control","","","Yes","Family/caregiver mesh","Anti-moat","Confirmed"
"Usage reporting for institution admins","Renewal justification","Enterprise product docs","Medium","High","Medium","Low","Medium","Low","2-4","3-4","P2","Enterprise","Yes","Outcome dashboards not usage counters","","Weak","Strong Inference"
"Abridge evidence integration","Evidence at point of documentation","Oct-2024 partnership; Mar-2026 GA","High","Very High","High","High","High","High","6-10","9-15","P1","Partnerships","Yes (partner evidence strategy)","","","","Distribution moat","Confirmed"
"Medi-Span drug data APIs","Pharmacy/EHR drug data infrastructure","WK product family","Medium","High","High","Very High","High","High","Portfolio team","Ongoing","P1","Data Licensing","Yes","Open evidence API variant","","","Data moat","Confirmed"
"Health Language terminology services","Cross-system code mapping","2013 acquisition; harmonisation claims","Medium","High","High","High","High","Medium","Portfolio team","Ongoing","P1","Data Infra","Yes","FHIR-native normalisation","","","Weak","Confirmed (acquisition)"
"UpToDate Advanced interactive pathways","Practice standardisation","2019 press (VA adoption)","Medium","High","High","Very High","High","Medium","Discontinued-ish/re-scoped","N/A","P3","Enterprise","","","Yes","Reinvent: personalised pathways","Weak","Confirmed (existed)"
"Editorial feedback loop (user comments)","Corpus correction channel","Editorial policy","Medium","Medium","Low","Medium","Low","Low","2","Ongoing","P1","Content Ops","Yes","Structured in-context feedback to evals","","","Weak","Confirmed"
"Author/reviewer network ops (7,600 experts)","Supply-chain of expertise","Launch; editorial policy","High","Very High","Medium","Very High","Very High","Medium","Partner-org ops","Ongoing","P0","Editorial Ops","Yes","+ patient advocates + attestation marketplace","","","Editorial moat","Confirmed"
"Disclosure/conflict policies","Commercial-bias hygiene","Editorial policy","High","High","Low","Medium","Low","Medium","Ops","Ongoing","P1","Trust","Yes","","","","Trust moat","Confirmed"
"Trainee/student discounted SKUs","Next-generation imprinting","Store wizard roles; pricing reports","High","Very High","Low","Low","Low","Low","1","1","P1","Growth","Yes","","","","Pipeline flywheel","Confirmed"
"No free tier / no trial (core app)","Price integrity","App store (no trial) vs Lexidrug trial","Low","Medium (short-term)","Low","Low","Low","Low","0","0","P3","Monetisation","","","Yes","Freemium patient tier","Anti-moat (vs free rivals)","Confirmed"
"No public content API","Corpus protection","No developer portal found","Low","Medium","Low","Low","Low","Low","0","0","P3","Platform","","","Yes","Open FHIR+MCP API","Surrendered moat","Confirmed (absence)"
"UpToDate China localisation (uptodate.cn)","Market localisation","Live CN editorial policy page","High (CN)","High","High","High","High","High","Country team","Ongoing","P2","Geography","","Improve: region-aware evidence everywhere","","","Weak","Confirmed"
"Veterans Affairs institutional win","Government-scale proof","2019 release","High","High","N/A","N/A","N/A","High","Sales","N/A","P2","Distribution","Yes","Patient-mediated gov pull","","","Distribution moat","Confirmed"
"Enterprise co-development cohort for AI","Governance-grade product-market fit","Samios quote (2-year collaboration)","Medium","Very High","N/A","High","N/A","Medium","PM org","24","P1","AI GTM","Yes (compressed: 6-mo pilots)","","","","None","Confirmed"
