id,journey,stage,owners,gap_class,gap_position,concept,jarvis,domain
W031,icu,multi_team_round,10,CROWDED,unmapped,,unknown,clinical
W032,icu,ventilator_manage,0,TRUE_GAP,before_commit,anomaly_alerting,absent,clinical
W033,insurance,adjudicate,0,DISCUSSED_NOT_OWNED,AT_COMMIT,billing_claims,absent,financial
W034,insurance,pre_authorise,2,UNOWNED,AT_COMMIT,billing_claims,absent,financial
W035,insurance,verify_coverage,6,CONTESTED,unmapped,,unknown,financial
W036,laboratory,analyse,1,UNOWNED,unmapped,,unknown,administrative
W037,laboratory,collect_specimen,3,CONTESTED,unmapped,,unknown,administrative
W038,laboratory,flag_critical,0,DISCUSSED_NOT_OWNED,before_commit,anomaly_alerting,absent,administrative
W039,laboratory,release_result,0,TRUE_GAP,before_commit,anomaly_alerting,absent,administrative
W040,laboratory,validate_result,2,UNOWNED,unmapped,,unknown,administrative
W041,management,capacity_plan,0,TRUE_GAP,before_commit,analytics_dashboard,absent,administrative
W042,management,dashboard_review,19,CROWDED,before_commit,analytics_dashboard,absent,administrative
W043,management,revenue_analyse,1,UNOWNED,unmapped,,unknown,administrative
W044,nurse,administer_meds,4,CONTESTED,AT_COMMIT,ordering_eprescribing,absent,clinical
W045,nurse,document_care,0,TRUE_GAP,AT_COMMIT,documentation_scribe,partial_exists,clinical
W046,nurse,escalate_deterioration,9,CONTESTED,before_commit,anomaly_alerting,absent,clinical
W047,nurse,give_handover,0,TRUE_GAP,AT_COMMIT,referral_care_coordination,absent,clinical
W048,nurse,monitor_response,0,TRUE_GAP,before_commit,anomaly_alerting,absent,clinical
W049,nurse,record_vitals,6,CONTESTED,before_commit,patient_reported_input,absent,clinical
W050,operation_theatre,consent,0,UNOWNED,unmapped,,unknown,clinical
W051,operation_theatre,perform_surgery,2,UNOWNED,unmapped,,unknown,clinical
W052,operation_theatre,schedule_slot,0,TRUE_GAP,AT_COMMIT,scheduling_booking,absent,clinical
W053,operation_theatre,turnover_room,0,TRUE_GAP,AT_COMMIT,task_workflow_engine,partial_exists,clinical
W054,patient,adhere_at_home,16,CROWDED,wrapper,gamification_habit,absent,patient
W055,patient,book,18,CROWDED,AT_COMMIT,scheduling_booking,absent,patient
W056,patient,consult,20,CROWDED,human_fallback,teleconsultation,absent,patient
W057,patient,diagnosis_explained,16,CROWDED,before_commit,explainability_provenance,partial_exists,patient
W058,patient,escalate_if_worse,16,CROWDED,unmapped,,unknown,patient
W059,patient,find_provider,15,CROWDED,wrapper,provider_discovery,absent,patient
W060,patient,follow_up,13,CROWDED,AT_COMMIT,scheduling_booking,absent,patient
W061,patient,pay,16,CROWDED,wrapper,subscription_billing,absent,patient
W062,patient,pre_visit_intake,1,UNOWNED,unmapped,,unknown,patient
W063,patient,prescription_filled,18,CROWDED,AT_COMMIT,ordering_eprescribing,absent,patient
W064,patient,register_checkin,13,CROWDED,before_commit,identity_resolution,absent,patient
W065,patient,results_returned,2,UNOWNED,before_commit,anomaly_alerting,absent,patient
W066,patient,tests_ordered,3,CONTESTED,unmapped,,unknown,patient
W067,patient,tests_performed,8,CONTESTED,unmapped,,unknown,patient
W068,patient,treatment_decided,15,CROWDED,AT_COMMIT,protocol_commitment,absent,patient
W069,patient,wait,5,CONTESTED,unmapped,,unknown,patient
W070,pharmacy,check_stock,18,CROWDED,AT_COMMIT,inventory_supply,absent,administrative
W071,pharmacy,counsel_patient,4,CONTESTED,unmapped,,unknown,administrative
W072,pharmacy,dispense,1,UNOWNED,AT_COMMIT,inventory_supply,absent,administrative
W073,pharmacy,reorder_stock,3,CONTESTED,AT_COMMIT,inventory_supply,absent,administrative
W074,pharmacy,verify_interaction,5,CONTESTED,wrapper,safety_guardrails,partial_exists,administrative
W075,quality,audit_chart,1,UNOWNED,before_commit,evidence_generation,absent,administrative
W076,quality,define_indicator,8,CONTESTED,unmapped,,unknown,administrative
W077,quality,incident_report,2,UNOWNED,unmapped,,unknown,administrative
W078,radiology,acquire_image,5,CONTESTED,unmapped,,unknown,administrative
W079,radiology,communicate_critical,0,TRUE_GAP,before_commit,anomaly_alerting,absent,administrative
W080,radiology,read_report,0,DISCUSSED_NOT_OWNED,before_commit,imaging_capture,absent,administrative
W081,radiology,store_pacs,5,CONTESTED,unmapped,,unknown,administrative
W082,reception,queue_manage,11,CROWDED,unmapped,,unknown,administrative
W083,reception,verify_eligibility,5,CONTESTED,unmapped,,unknown,administrative
W084,reception,verify_identity,10,CROWDED,unmapped,,unknown,administrative
