claim_id,claim,section,tier,confidence,source_ids,source_type,accessed,shipping_rung,contested,falsifier,notes
MEM0-C-015,"CTO Deshraj Yadav previously led Tesla Autopilot AI Platform; co-created EvalAI",2,E2,MEDIUM,S-005;S-001,press,2026-07-26,n/a,no,,"Two independent-origin sources"
MEM0-C-016,"Approximately 21 employees",2,E2,LOW,S-008,press,2026-06-27,n/a,no,,"Aggregator data; headcount figures are frequently stale"
MEM0-C-017,"Aggregator reports $24.5M across 2 rounds",2,E2,LOW,S-008,press,2026-06-27,n/a,yes,,"CONTESTED with C-012 and C-018"
MEM0-C-018,"Aggregator reports $20.5M across 2 rounds with $500K seed",2,E2,LOW,S-009,press,2026-04-15,n/a,yes,,"CONTESTED with C-012 and C-017"
MEM0-C-019,"Founded January 2024 per one account; 2023 per another",2,E2,UNKNOWN,S-005;S-008,press,2026-07-26,n/a,yes,,"CONTESTED - likely incorporation vs product-launch dates. Unresolved."
MEM0-C-020,"Funding earmarked for enterprise deployments signals governance-gap remediation",2,E3,MEDIUM,S-001,inference,2026-07-26,n/a,no,,"Stated use of funds read against the documented governance gap in C-003"
MEM0-C-021,"Exclusive memory provider for AWS Agent SDK",2,E1,HIGH,S-001;S-007,press,2026-07-26,GA,no,,"Company press release plus independent trade coverage"
MEM0-C-022,"Netflix, Lemonade and Rocket Money named as production users",2,E2,MEDIUM,S-003,press,2026-07-26,adopted-at-scale,no,,"Trade press; not independently confirmed with the named companies"
MEM0-C-023,"add() extracts key facts from conversations via LLM into compressed memory entries",3,E1,HIGH,S-002;S-006,docs,2026-07-26,adopted-at-scale,no,,"Official documentation and repository README"
MEM0-C-024,"Supports User, Session and Agent memory scopes",3,E1,HIGH,S-006,docs,2026-07-26,GA,no,,"Official documentation"
MEM0-C-025,"Graph memory gated to Pro tier at $249/mo; Starter is $19/mo",8,E1,HIGH,S-004;S-006,docs,2026-06-11,GA,no,,"Pricing page, dated. 13x jump between tiers."
MEM0-C-026,"Resolves conflicting facts and applies confidence scoring",5,E2,MEDIUM,S-001;S-010,press,2026-07-26,GA,no,,"Two independent-origin sources; mechanism not described in detail"
MEM0-C-027,"Supports 19 vector store backends",4,E2,MEDIUM,S-004,docs,2026-07-26,GA,no,,"Vendor state-of-market document"
MEM0-C-028,"Full stack self-hostable under Apache 2.0 with maintained Docker images",8,E1,HIGH,S-004;S-002,docs,2026-07-26,GA,no,,"Independent comparison plus repository"
MEM0-C-029,"No MCP server in current release",6,E2,MEDIUM,S-004,docs,2026-07-26,n/a,no,,"Independent comparison table; absence claim - recorded as gap not certainty"
MEM0-C-030,"Accumulated user memories constitute the primary switching cost",3,E3,HIGH,S-002,inference,2026-07-26,n/a,no,,"Structural property of any persistence layer; overdetermined"
MEM0-C-031,"Hybrid store combines vector, graph and key-value backends",4,E1,HIGH,S-003;S-006,docs,2026-07-26,GA,no,,"Architecture documentation"
MEM0-C-032,"Architecture is vector-first with graph as enhancement, not graph-native",4,E3,HIGH,S-004;S-006,inference,2026-07-26,n/a,no,,"Three signals: graph is separately priced; 19 vector backends vs one graph impl; small published temporal delta from graph layer"
MEM0-C-033,"Claims to forget outdated and conflicting information; no mechanism described",5,E2,LOW,S-001,press,2026-07-26,GA,no,,"Marketing claim without described mechanism - flagged rather than accepted"
MEM0-C-034,"Vendor claims +26% accuracy over OpenAI Memory on LOCOMO, 91% lower latency, 90% token savings",5,E2,LOW,S-003;S-006,blog,2026-07-26,GA,yes,,"CONTESTED - vendor-reported. E2 about the claim, not E1 about capability."
MEM0-C-035,"LOCOMO scores disputed with multiple revisions across parties",5,E2,MEDIUM,S-004;S-006,blog,2026-07-26,n/a,yes,,"CONTESTED - benchmark measures methodology as much as system"
MEM0-C-036,"Scores 49.0% on LongMemEval with GPT-4o per independent testing",5,E2,MEDIUM,S-004,blog,2026-04-08,GA,yes,,"CONTESTED - third-party figure; recorded without comparative conclusion per Article II.5"
MEM0-C-037,"GitHub stars grew 37K (2025-07) to 41K (2025-10) to 58.4K (2026-06)",6,E2,HIGH,S-003;S-007;S-006,press,2026-07-26,n/a,no,,"Three independent dated observations, consistent trajectory"
MEM0-C-038,"API calls grew 35M in Q1 2025 to 186M in Q3 2025, roughly 30% monthly",6,E1,HIGH,S-001,press,2025-10-28,adopted-at-scale,no,,"Company press release; STALE by 2026-07 - growth rate may not have held"
MEM0-C-039,"Graph paywall converts technical evaluation into a procurement decision",8,E3,MEDIUM,S-004;S-006,inference,2026-07-26,n/a,no,,"13x price jump at the point of technical differentiation, corroborated by user complaints in C-040"
MEM0-C-040,"Users report the graph paywall blocks production evaluation and graph token costs are high at scale",9,E2,MEDIUM,S-004,community,2026-07-26,n/a,no,,"Pattern across community sources; sentiment evidence not fact evidence"
MEM0-C-041,"Deciding what to remember versus forget is unsolved across all systems in this category",9,E2,HIGH,S-004,community,2026-07-26,n/a,no,,"Practitioner benchmark commentary; category-wide claim, not Mem0-specific. Confirms discovery question DQ-01."
MEM0-C-042,"Healthcare listed among target verticals",10,E2,MEDIUM,S-008,press,2026-06-27,n/a,no,,"Company description in aggregator profile"
MEM0-C-043,"Primary moat is distribution via AWS exclusivity rather than technology",12,E3,MEDIUM,S-001;S-007,inference,2026-07-26,n/a,no,,"Technology moat scores 2/5 on this dossier's own assessment while distribution scores 4/5"
MEM0-C-044,"No FHIR, HL7 or ABDM support found",10,E1,HIGH,S-002;S-006,docs,2026-07-26,n/a,no,,"Searched repository, official docs and site. Absence recorded as absence of evidence per rule 2.4."
